feature,importance
prop_historical_ctr,4797736.026636124
prop_historical_br,726395.1656718254
random_bool,366536.9729166031
position,170502.78271341324
price_percentile,45686.38084793091
prop_avg_price,41265.58573627472
prop_location_score2,24455.92346763611
review_score_per_dollar,18003.8789768219
price_usd,14848.84171962738
price_diff_from_mean,11568.798265457153
prop_price_std,10391.372173309326
star_per_dollar,9629.373569488525
price_per_star,8302.830183506012
price_ratio_to_mean,7642.121631622314
price_diff_from_hist,7355.444252490997
location_score_diff,6697.536261081696
srch_booking_window,6386.437003612518
prop_click_count,5780.458045959473
destination_search_volume,5700.372799873352
prop_id,5465.907419204712
prop_log_historical_price,5330.075638771057
location_score_per_dollar,5115.190432071686
srch_query_affinity_score,5077.337922096252
star_x_score,4882.901736736298
price_per_night,4033.904073238373
total_price,3952.876254081726
location_score_product,3626.278518676758
srch_length_of_stay,3074.484658241272
price_rank,2765.4103355407715
avg_comp_price_diff,2287.349992752075
orig_destination_distance,2200.655058860779
comp3_price_diff,2081.438004016876
comp5_price_diff,2028.9283866882324
dest_price_std,1876.846019744873
review_rank,1862.3613243103027
location_rank,1823.682448387146
comp2_price_diff,1589.6761207580566
prop_location_score1,1571.0521059036255
mean_comp_price_diff,1534.0918645858765
comp8_price_diff,1506.8358669281006
srch_destination_id,1458.138747215271
dest_avg_price,1424.371826171875
visitor_hist_adr_usd,1226.087697982788
star_rating_diff,1213.466416835785
hour,1024.9735250473022
comp4_price_diff,1017.9061312675476
prop_brand_bool,893.5463037490845
visitor_hist_starrating,788.2148017883301
site_id,724.3156023025513
prop_booking_count,694.4685955047607
visitor_location_country_id,662.2264699935913
star_rank,653.1057796478271
prop_review_score,616.5212707519531
comp7_price_diff,614.2056007385254
rooms_per_person,547.7467994689941
comp6_price_diff,541.3185796737671
prop_starrating,520.0229644775391
promotion_flag,509.505069732666
prop_country_id,503.78220081329346
month,468.10090160369873
comp1_price_diff,440.86422061920166
srch_children_count,413.6132001876831
total_guests,404.29574966430664
price_usd_original,393.87505531311035
advance_booking_days,358.16836977005005
day_of_week,324.77094745635986
log_orig_distance,308.8256998062134
srch_adults_count,276.7042980194092
comp_rates_available,270.9071989059448
is_domestic,157.05200004577637
has_booking_history,108.49209976196289
srch_room_count,83.30168914794922
is_weekend,46.30329895019531
srch_saturday_night_bool,40.75819969177246
comp_position_x_review,34.047499656677246
comp4_available,14.025400161743164
comp6_available,11.987299919128418
comp5_available,10.770999908447266
comp1_available,0.0
comp2_available,0.0
user_has_history,0.0
comp7_available,0.0
comp8_available,0.0
comp_position_score,0.0
cheaper_than_comp_count,0.0
comp3_available,0.0
